0x680, Time, 81, Relay State 1, 0x90, Relay State 2, 0x49, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3394, Pack SOC, 72
0x683, Time, 82, High Cell Voltage, 38127, Low Cell Voltage, 36446, Average Cell Voltage 20992
0x682, Time, 82, Pack Amphours, 152, Internal Temp, 25
0x681, Time, 82, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 185, Relay State 1, 0x90, Relay State 2, 0x49, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3394, Pack SOC, 72
0x683, Time, 186, High Cell Voltage, 38126, Low Cell Voltage, 36445, Average Cell Voltage 20992
0x682, Time, 186, Pack Amphours, 152, Internal Temp, 25
0x681, Time, 186, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 289, Relay State 1, 0x90, Relay State 2, 0x49, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3394, Pack SOC, 72
0x683, Time, 290, High Cell Voltage, 38126, Low Cell Voltage, 36447, Average Cell Voltage 20992
0x682, Time, 290, Pack Amphours, 152, Internal Temp, 25
0x681, Time, 290, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 393, Relay State 1, 0x90, Relay State 2, 0x49, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3394, Pack SOC, 72
0x683, Time, 394, High Cell Voltage, 38125, Low Cell Voltage, 36445, Average Cell Voltage 20992
0x682, Time, 394, Pack Amphours, 152, Internal Temp, 25
0x681, Time, 394, Input Supply Voltage, 119, Pack Current, 0
0x151, Time, 418, AC Current, 0, DC Current, 0
0x251, Time, 422, Controller Temp, 400, Motor Temp, 490, Fault Code, 2
0x051, Time, 434, ERPM, 0, MC Input Voltage, 2
0x151, Time, 438, AC Current, 0, DC Current, 0
0x251, Time, 442, Controller Temp, 400, Motor Temp, 490, Fault Code, 2
0x051, Time, 454, ERPM, 0, MC Input Voltage, 1
0x151, Time, 458, AC Current, 0, DC Current, 0
0x251, Time, 462, Controller Temp, 400, Motor Temp, 490, Fault Code, 2
0x051, Time, 474, ERPM, 0, MC Input Voltage, 1
0x151, Time, 478, AC Current, 0, DC Current, 0
0x251, Time, 482, Controller Temp, 400, Motor Temp, 490, Fault Code, 2
0x051, Time, 494, ERPM, 0, MC Input Voltage, 1
0x680, Time, 497, Relay State 1, 0x90, Relay State 2, 0x49, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3394, Pack SOC, 72
0x683, Time, 498, High Cell Voltage, 38125, Low Cell Voltage, 36445, Average Cell Voltage 20992
