0x680, Time, 70, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 71, High Cell Voltage, 38950, Low Cell Voltage, 37599, Average Cell Voltage 41984
0x682, Time, 71, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 71, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 174, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 175, High Cell Voltage, 38950, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 175, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 175, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 278, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 279, High Cell Voltage, 38950, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 279, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 279, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 382, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 383, High Cell Voltage, 38950, Low Cell Voltage, 37599, Average Cell Voltage 41984
0x682, Time, 383, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 383, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 399, ERPM, 0, MC Input Voltage, 1
0x151, Time, 403, AC Current, 0, DC Current, 0
0x251, Time, 407, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 419, ERPM, 0, MC Input Voltage, 1
0x151, Time, 423, AC Current, 0, DC Current, 0
0x251, Time, 427, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 439, ERPM, 0, MC Input Voltage, 1
0x151, Time, 443, AC Current, 0, DC Current, 0
0x251, Time, 447, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 459, ERPM, 0, MC Input Voltage, 1
0x151, Time, 463, AC Current, 0, DC Current, 0
0x251, Time, 467, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 479, ERPM, 0, MC Input Voltage, 1
0x151, Time, 483, AC Current, 0, DC Current, 0
0x680, Time, 486, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 487, High Cell Voltage, 38950, Low Cell Voltage, 37601, Average Cell Voltage 41984
0x682, Time, 487, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 487, Input Supply Voltage, 120, Pack Current, 0
0x251, Time, 488, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 499, ERPM, 0, MC Input Voltage, 1
0x151, Time, 503, AC Current, 0, DC Current, 0
0x251, Time, 507, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x1839F380, Time, 609, Highest Cell Temp, 28, Average Cell Temp, 5
0x051, Time, 629, ERPM, 0, MC Input Voltage, 1
0x151, Time, 629, AC Current, 0, DC Current, 0
0x251, Time, 629, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 639, ERPM, 0, MC Input Voltage, 1
0x151, Time, 643, AC Current, 0, DC Current, 0
0x251, Time, 647, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 659, ERPM, 0, MC Input Voltage, 1
0x151, Time, 663, AC Current, 0, DC Current, 0
0x251, Time, 667, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 679, ERPM, 0, MC Input Voltage, 1
0x151, Time, 683, AC Current, 0, DC Current, 0
0x251, Time, 687, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x680, Time, 694, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 695, High Cell Voltage, 38950, Low Cell Voltage, 37598, Average Cell Voltage 41984
0x682, Time, 695, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 695, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 699, ERPM, 0, MC Input Voltage, 1
0x151, Time, 703, AC Current, 0, DC Current, 0
0x251, Time, 707, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 719, ERPM, 0, MC Input Voltage, 1
0x151, Time, 723, AC Current, 0, DC Current, 0
0x251, Time, 727, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 739, ERPM, 0, MC Input Voltage, 1
0x151, Time, 743, AC Current, 0, DC Current, 0
0x251, Time, 747, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 759, ERPM, 0, MC Input Voltage, 1
0x151, Time, 763, AC Current, 0, DC Current, 0
0x251, Time, 767, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 779, ERPM, 0, MC Input Voltage, 1
0x151, Time, 783, AC Current, 0, DC Current, 0
0x251, Time, 787, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x680, Time, 798, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 799, High Cell Voltage, 38951, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 799, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 799, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 800, ERPM, 0, MC Input Voltage, 1
0x151, Time, 803, AC Current, 0, DC Current, 0
0x251, Time, 807, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 819, ERPM, 0, MC Input Voltage, 1
0x151, Time, 823, AC Current, 0, DC Current, 0
0x251, Time, 827, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 839, ERPM, 0, MC Input Voltage, 1
0x151, Time, 843, AC Current, 0, DC Current, 0
0x251, Time, 847, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 859, ERPM, 0, MC Input Voltage, 1
0x151, Time, 863, AC Current, 0, DC Current, 0
0x251, Time, 867, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x1839F380, Time, 965, Highest Cell Temp, 28, Average Cell Temp, 7
0x051, Time, 985, ERPM, 0, MC Input Voltage, 1
0x151, Time, 985, AC Current, 0, DC Current, 0
0x251, Time, 987, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 999, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1003, AC Current, 0, DC Current, 0
0x680, Time, 1006, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 1007, High Cell Voltage, 38949, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 1007, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 1007, Input Supply Voltage, 120, Pack Current, 0
0x251, Time, 1008, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 1019, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1023, AC Current, 0, DC Current, 0
0x251, Time, 1027, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 1039, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1043, AC Current, 0, DC Current, 0
0x251, Time, 1047, Controller Temp, 340, Motor Temp, 419, Fault Code, 2
0x051, Time, 1059, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1063, AC Current, 0, DC Current, 0
0x251, Time, 1067, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1079, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1083, AC Current, 0, DC Current, 0
0x251, Time, 1087, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1099, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1103, AC Current, 0, DC Current, 0
0x251, Time, 1107, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x680, Time, 1110, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 1111, High Cell Voltage, 38951, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 1111, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 1111, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 1119, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1123, AC Current, 0, DC Current, 0
0x251, Time, 1127, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1139, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1143, AC Current, 0, DC Current, 0
0x251, Time, 1147, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1159, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1163, AC Current, 0, DC Current, 0
0x251, Time, 1167, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1179, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1183, AC Current, 0, DC Current, 0
0x251, Time, 1187, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1199, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1203, AC Current, 0, DC Current, 0
0x251, Time, 1207, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x680, Time, 1214, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 1215, High Cell Voltage, 38950, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 1215, Pack Amphours, 173, Internal Temp, 24
0x681, Time, 1215, Input Supply Voltage, 120, Pack Current, 0
0x1839F380, Time, 1312, Highest Cell Temp, 28, Average Cell Temp, 10
0x051, Time, 1333, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1333, AC Current, 0, DC Current, 0
0x051, Time, 1339, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1343, AC Current, 0, DC Current, 0
0x251, Time, 1347, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1359, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1363, AC Current, 0, DC Current, 0
0x251, Time, 1367, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1379, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1383, AC Current, 0, DC Current, 0
0x251, Time, 1387, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1399, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1403, AC Current, 0, DC Current, 0
0x251, Time, 1407, Controller Temp, 340, Motor Temp, 420, Fault Code, 2
0x051, Time, 1419, ERPM, 0, MC Input Voltage, 1
0x680, Time, 1422, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3470, Pack SOC, 82
0x683, Time, 1423, High Cell Voltage, 38950, Low Cell Voltage, 37600, Average Cell Voltage 41984
0x682, Time, 1423, Pack Amphours, 173, Internal Temp, 24
