0x680, Time, 65, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 66, High Cell Voltage, 38710, Low Cell Voltage, 37378, Average Cell Voltage 59904
0x682, Time, 66, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 66, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 169, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 170, High Cell Voltage, 38711, Low Cell Voltage, 37378, Average Cell Voltage 59904
0x682, Time, 170, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 170, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 273, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 274, High Cell Voltage, 38710, Low Cell Voltage, 37378, Average Cell Voltage 59904
0x682, Time, 274, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 274, Input Supply Voltage, 119, Pack Current, 0
0x680, Time, 377, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 378, High Cell Voltage, 38711, Low Cell Voltage, 37378, Average Cell Voltage 59904
0x682, Time, 378, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 378, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 417, ERPM, 0, MC Input Voltage, 1
0x151, Time, 421, AC Current, 0, DC Current, 0
0x251, Time, 425, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 437, ERPM, 0, MC Input Voltage, 1
0x151, Time, 441, AC Current, 0, DC Current, 0
0x251, Time, 445, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 457, ERPM, 0, MC Input Voltage, 1
0x151, Time, 461, AC Current, 0, DC Current, 0
0x251, Time, 465, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 477, ERPM, 0, MC Input Voltage, 1
0x151, Time, 481, AC Current, 0, DC Current, 0
0x680, Time, 481, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 482, High Cell Voltage, 38711, Low Cell Voltage, 37379, Average Cell Voltage 59904
0x682, Time, 482, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 482, Input Supply Voltage, 120, Pack Current, 0
0x251, Time, 485, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 497, ERPM, 0, MC Input Voltage, 1
0x151, Time, 501, AC Current, 0, DC Current, 0
0x251, Time, 505, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 517, ERPM, 0, MC Input Voltage, 1
0x1839F380, Time, 619, Highest Cell Temp, 27, Average Cell Temp, 6
0x251, Time, 640, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 640, ERPM, 0, MC Input Voltage, 1
0x151, Time, 640, AC Current, 0, DC Current, 0
0x151, Time, 641, AC Current, 0, DC Current, 0
0x251, Time, 645, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 657, ERPM, 0, MC Input Voltage, 1
0x151, Time, 661, AC Current, 0, DC Current, 0
0x251, Time, 665, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 677, ERPM, 0, MC Input Voltage, 1
0x151, Time, 681, AC Current, 0, DC Current, 0
0x251, Time, 685, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x680, Time, 689, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 690, High Cell Voltage, 38710, Low Cell Voltage, 37378, Average Cell Voltage 59904
0x682, Time, 690, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 690, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 697, ERPM, 0, MC Input Voltage, 1
0x151, Time, 701, AC Current, 0, DC Current, 0
0x251, Time, 705, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 717, ERPM, 0, MC Input Voltage, 1
0x151, Time, 721, AC Current, 0, DC Current, 0
0x251, Time, 725, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 737, ERPM, 0, MC Input Voltage, 1
0x151, Time, 741, AC Current, 0, DC Current, 0
0x251, Time, 745, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 757, ERPM, 0, MC Input Voltage, 1
0x151, Time, 761, AC Current, 0, DC Current, 0
0x251, Time, 765, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 777, ERPM, 0, MC Input Voltage, 1
0x151, Time, 781, AC Current, 0, DC Current, 0
0x251, Time, 785, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x680, Time, 793, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x683, Time, 794, High Cell Voltage, 38711, Low Cell Voltage, 37377, Average Cell Voltage 59904
0x682, Time, 794, Pack Amphours, 169, Internal Temp, 24
0x681, Time, 794, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 797, ERPM, 0, MC Input Voltage, 1
0x151, Time, 801, AC Current, 0, DC Current, 0
0x251, Time, 805, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 817, ERPM, 0, MC Input Voltage, 1
0x151, Time, 821, AC Current, 0, DC Current, 0
0x251, Time, 825, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 837, ERPM, 0, MC Input Voltage, 1
0x151, Time, 841, AC Current, 0, DC Current, 0
0x251, Time, 845, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 857, ERPM, 0, MC Input Voltage, 1
0x151, Time, 861, AC Current, 0, DC Current, 0
0x251, Time, 865, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x051, Time, 877, ERPM, 0, MC Input Voltage, 1
0x151, Time, 881, AC Current, 0, DC Current, 0
0x251, Time, 885, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
0x1839F380, Time, 986, Highest Cell Temp, 27, Average Cell Temp, 8
0x051, Time, 1007, ERPM, 0, MC Input Voltage, 1
0x680, Time, 1007, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3454, Pack SOC, 80
0x251, Time, 1007, Controller Temp, 360, Motor Temp, 389, Fault Code, 2
