0x680, Time, 100, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 100, High Cell Voltage, 38794, Low Cell Voltage, 37468, Average Cell Voltage 12032
0x682, Time, 100, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 101, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 204, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 204, High Cell Voltage, 38795, Low Cell Voltage, 37468, Average Cell Voltage 12032
0x682, Time, 204, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 204, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 308, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 308, High Cell Voltage, 38795, Low Cell Voltage, 37469, Average Cell Voltage 12032
0x682, Time, 308, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 308, Input Supply Voltage, 120, Pack Current, 0
0x680, Time, 412, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 412, High Cell Voltage, 38793, Low Cell Voltage, 37469, Average Cell Voltage 12032
0x682, Time, 412, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 412, Input Supply Voltage, 120, Pack Current, 0
0x151, Time, 433, AC Current, 0, DC Current, 0
0x251, Time, 437, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 449, ERPM, 0, MC Input Voltage, 1
0x151, Time, 453, AC Current, 0, DC Current, 0
0x251, Time, 457, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 469, ERPM, 0, MC Input Voltage, 1
0x151, Time, 473, AC Current, 0, DC Current, 0
0x251, Time, 477, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 489, ERPM, 0, MC Input Voltage, 1
0x151, Time, 493, AC Current, 0, DC Current, 0
0x251, Time, 497, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 509, ERPM, 0, MC Input Voltage, 1
0x151, Time, 513, AC Current, 0, DC Current, 0
0x680, Time, 516, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 516, High Cell Voltage, 38795, Low Cell Voltage, 37468, Average Cell Voltage 12032
0x682, Time, 516, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 516, Input Supply Voltage, 120, Pack Current, 0
0x251, Time, 517, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x1839F380, Time, 618, Highest Cell Temp, 27, Average Cell Temp, 5
0x251, Time, 639, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 649, ERPM, 0, MC Input Voltage, 1
0x151, Time, 653, AC Current, 0, DC Current, 0
0x251, Time, 657, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 669, ERPM, 0, MC Input Voltage, 1
0x151, Time, 673, AC Current, 0, DC Current, 0
0x251, Time, 677, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 689, ERPM, 0, MC Input Voltage, 1
0x151, Time, 693, AC Current, 0, DC Current, 0
0x251, Time, 697, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 709, ERPM, 0, MC Input Voltage, 1
0x151, Time, 713, AC Current, 0, DC Current, 0
0x251, Time, 717, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x680, Time, 724, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 724, High Cell Voltage, 38794, Low Cell Voltage, 37469, Average Cell Voltage 12032
0x682, Time, 724, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 725, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 729, ERPM, 0, MC Input Voltage, 1
0x151, Time, 733, AC Current, 0, DC Current, 0
0x251, Time, 737, Controller Temp, 340, Motor Temp, 389, Fault Code, 2
0x051, Time, 749, ERPM, 0, MC Input Voltage, 1
0x151, Time, 753, AC Current, 0, DC Current, 0
0x251, Time, 757, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 769, ERPM, 0, MC Input Voltage, 1
0x151, Time, 773, AC Current, 0, DC Current, 0
0x251, Time, 777, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 789, ERPM, 0, MC Input Voltage, 1
0x151, Time, 793, AC Current, 0, DC Current, 0
0x251, Time, 797, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 809, ERPM, 0, MC Input Voltage, 1
0x151, Time, 813, AC Current, 0, DC Current, 0
0x251, Time, 817, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x680, Time, 828, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 828, High Cell Voltage, 38793, Low Cell Voltage, 37469, Average Cell Voltage 12032
0x682, Time, 828, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 828, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 829, ERPM, 0, MC Input Voltage, 1
0x151, Time, 833, AC Current, 0, DC Current, 0
0x251, Time, 837, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 849, ERPM, 0, MC Input Voltage, 1
0x151, Time, 853, AC Current, 0, DC Current, 0
0x251, Time, 857, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 869, ERPM, 0, MC Input Voltage, 1
0x151, Time, 873, AC Current, 0, DC Current, 0
0x251, Time, 877, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x1839F380, Time, 975, Highest Cell Temp, 27, Average Cell Temp, 8
0x051, Time, 996, ERPM, 0, MC Input Voltage, 1
0x151, Time, 996, AC Current, 0, DC Current, 0
0x151, Time, 996, AC Current, 0, DC Current, 0
0x251, Time, 997, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1009, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1013, AC Current, 0, DC Current, 0
0x251, Time, 1017, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1029, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1033, AC Current, 0, DC Current, 0
0x680, Time, 1036, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 1036, High Cell Voltage, 38794, Low Cell Voltage, 37469, Average Cell Voltage 12032
0x682, Time, 1036, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 1036, Input Supply Voltage, 120, Pack Current, 0
0x251, Time, 1037, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1049, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1053, AC Current, 0, DC Current, 0
0x251, Time, 1057, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1069, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1073, AC Current, 0, DC Current, 0
0x251, Time, 1077, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1089, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1093, AC Current, 0, DC Current, 0
0x251, Time, 1097, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1109, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1113, AC Current, 0, DC Current, 0
0x251, Time, 1117, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1129, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1133, AC Current, 0, DC Current, 0
0x251, Time, 1137, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x680, Time, 1140, Relay State 1, 0x0, Relay State 2, 0x41, Failsafe Status 1, 0x0, Failsafe Status 2, 0x0, Pack Instant Voltage, 3460, Pack SOC, 81
0x683, Time, 1140, High Cell Voltage, 38795, Low Cell Voltage, 37468, Average Cell Voltage 12032
0x682, Time, 1140, Pack Amphours, 170, Internal Temp, 24
0x681, Time, 1140, Input Supply Voltage, 120, Pack Current, 0
0x051, Time, 1149, ERPM, 0, MC Input Voltage, 1
0x151, Time, 1153, AC Current, 0, DC Current, 0
0x251, Time, 1157, Controller Temp, 340, Motor Temp, 390, Fault Code, 2
0x051, Time, 1169, ERPM, 0, MC Input Voltage, 1
